# prefix,country_code,region_code,city,postal
206.79.195.0/26,US,US-CA,Alpine,91901
206.79.195.64/27,US,US-CA,Alpine,91901
206.79.195.96/31,US,US-CA,Meifee,92584
72.196.61.16/29,US,US-CA,Irvine,92614
72.196.61.19/32,US,US-CA,Fullerton,92833
98.186.18.240/29,US,US-CA,San Diego,92123
72.196.62.130/31,US,US-CA,Irvine,92614
98.168.112.24/29,GB,GB-UKM,Esher,KT10 9BL
184.189.47.4/32,US,US-CA,Irvine,92614
72.196.60.48/31,US,US-NV,Las Vegas,89148
72.196.60.50/31,US,US-NV,Las Vegas,89134
72.196.60.52/31,US,US-NV,Las Vegas,89135
72.196.60.54/31,US,US-NV,Las Vegas,89117
72.196.60.56/31,US,US-CA,Anaheim,92807
72.196.60.58/31,US,US-AZ,New River,85086
72.196.60.60/31,US,US-AZ,Phoenix,85018
72.196.60.62/31,US,US-AZ,Mesa,85204
206.79.216.248/31,US,US-AZ,Goodyear,85395
206.79.216.250/31,US,US-CA,Indian Wells,92210
206.79.216.252/31,US,US-AZ,Scottsdale,85254
206.79.216.254/31,US,US-CA,Lake Elsinore,92530
206.79.195.96/31,US,US-CA,Menifee,92584
206.79.195.98/31,US,US-CA,Murrieta,92563
206.79.195.100/31,US,US-AZ,Scottsdale,85255
206.79.195.102/31,US,US-CA,Palm Desert,92260
206.79.195.104/31,US,US-CA,Palm Springs,92262
206.79.195.106/31,US,US-CA,Palm Springs,92262
206.79.195.108/31,US,US-AZ,Peoria,85382
206.79.195.110/31,US,US-CA,Rancho Cucamonga,91730
98.168.112.48/31,US,US-AZ,Sedona,86336
98.168.112.50/31,US,US-NV,Henderson,89052
98.168.112.52/31,US,US-CA,Temecula,92592
98.168.112.54/31,US,US-AZ,Tucson,85718
98.168.112.56/31,US,US-CA,Upland,91784
98.168.112.58/31,US,US-CA,Yorba Linda,92887
185.159.5.48/28,US,US-CA,Irvine,92614
63.234.29.224/28,US,US-TX,Dallas,75207
103.219.223.240/28,US,US-VA,Sterling,20166
185.159.6.128/28,US,US-IL,Chicago,60616
185.159.4.32/28,HK,,Kwai Chung,
103.219.223.240/28,NL,NL-NH,Schiphol-Rijk,1119
98.168.113.246/32,US,US-AZ,Scottsdale,85260
184.189.47.95/32,US,US-CA,Tustin,92782
184.189.47.6/32,US,US-NC,Raleigh,27603
184.178.74.43/32,MX,MX-SON,Empalme,85340
